
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 59
No. of Primary Outputs: 35
No. of Gates: 4454
No. of DFFs: 516
No. of Nodes: 10434
Execution Time: 1003800408 ns
Primary Inputs: test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	SC0	SC1
\DFF_57/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_56/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_55/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_54/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_53/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_52/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_51/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_50/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_49/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_48/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_47/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_46/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_45/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_44/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_43/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_42/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_41/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_39/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_38/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_37/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_36/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_34/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_33/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_32/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_31/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_30/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_29/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_28/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_27/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_26/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_25/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_24/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_23/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_22/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_21/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_20/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_19/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_18/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_17/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_16/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_15/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_14/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_13/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_12/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_11/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_10/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_9/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_7/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_6/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_5/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_4/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_3/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_2/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_1/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_0/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_0/Q_reg-SDFF-output-B	2	3	0	0
n905	2	2	0	0
n899	2	2	0	0
n903	2	2	0	0
n873	2	2	0	0
n898	2	2	0	0
n872	2	2	0	0
n904	2	2	0	0
n2865	2	2	0	0
n2866	2	2	0	0
n2867	2	2	0	0
n2868	2	2	0	0
n2869	2	2	0	0
n2870	2	2	0	0
n2871	2	2	0	0
n900	2	2	0	0
g3327	2	2	0	0
g5658	2	4	0	0
g5659	2	4	0	0
n901	2	2	0	0
n2482	2	4	0	0
n897	2	2	0	0
n902	2	2	0	0
n874	2	2	0	0
n2491	2	3	0	0
\DFF_533/Q_reg-SDFF-output-B	2	30	0	3
n514	9	29	1	3
\DFF_532/Q_reg-SDFF-output-B	2	25	0	2
n524	9	24	1	2
\DFF_531/Q_reg-SDFF-output-B	2	21	0	1
\DFF_530/Q_reg-SDFF-output-B	2	20	0	3
n525	9	19	1	3
\DFF_529/Q_reg-SDFF-output-B	2	15	0	2
\DFF_528/Q_reg-SDFF-output-B	2	10	0	1
n528	9	19	1	2
\DFF_526/Q_reg-SDFF-output-B	2	20	0	2
\DFF_525/Q_reg-SDFF-output-B	2	48	0	4
n529	9	47	1	4
\DFF_524/Q_reg-SDFF-output-B	2	43	0	5
n532	9	42	1	5
\DFF_523/Q_reg-SDFF-output-B	2	38	0	4
n533	9	37	1	4
\DFF_522/Q_reg-SDFF-output-B	2	33	0	3
n534	9	32	1	3
\DFF_521/Q_reg-SDFF-output-B	2	28	0	2
\DFF_520/Q_reg-SDFF-output-B	2	29	0	2
n536	9	28	1	2
\DFF_519/Q_reg-SDFF-output-B	2	26	0	3
g6313	2	42	0	4
\DFF_518/Q_reg-SDFF-output-B	2	42	0	4
\DFF_517/Q_reg-SDFF-output-B	2	37	0	3
\DFF_516/Q_reg-SDFF-output-B	2	32	0	3
\DFF_515/Q_reg-SDFF-output-B	2	27	0	2
\DFF_514/Q_reg-SDFF-output-B	2	33	0	4
\DFF_513/Q_reg-SDFF-output-B	2	28	0	3
n546	9	27	1	3
\DFF_512/Q_reg-SDFF-output-B	2	26	0	2
\DFF_511/Q_reg-SDFF-output-B	2	38	0	4
n548	9	37	1	4
\DFF_510/Q_reg-SDFF-output-B	2	33	0	3
n549	9	32	1	3
\DFF_509/Q_reg-SDFF-output-B	2	28	0	2
n550	9	33	1	4
\DFF_508/Q_reg-SDFF-output-B	2	34	0	4
\DFF_507/Q_reg-SDFF-output-B	2	29	0	3
n551	9	28	1	3
\DFF_506/Q_reg-SDFF-output-B	2	24	0	2
\DFF_505/Q_reg-SDFF-output-B	2	19	0	3
n554	9	18	1	3
\DFF_504/Q_reg-SDFF-output-B	2	14	0	2
n555	9	13	1	2
\DFF_503/Q_reg-SDFF-output-B	2	9	0	1
\DFF_502/Q_reg-SDFF-output-B	2	42	0	3
\DFF_501/Q_reg-SDFF-output-B	2	37	0	2
\DFF_500/Q_reg-SDFF-output-B	2	32	0	5
n556	9	31	1	5
\DFF_499/Q_reg-SDFF-output-B	2	27	0	4
n557	9	26	1	4
\DFF_498/Q_reg-SDFF-output-B	2	22	0	3
n1728	17	29	2	4
\DFF_497/Q_reg-SDFF-output-B	2	17	0	2
\DFF_496/Q_reg-SDFF-output-B	2	24	0	3
n558	9	23	1	3
\DFF_495/Q_reg-SDFF-output-B	2	19	0	2
n559	9	18	1	2
\DFF_494/Q_reg-SDFF-output-B	2	43	0	5
n560	9	42	1	5
\DFF_493/Q_reg-SDFF-output-B	2	38	0	4
n561	9	37	1	4
\DFF_492/Q_reg-SDFF-output-B	2	33	0	3
n562	9	32	1	3
\DFF_491/Q_reg-SDFF-output-B	2	28	0	2
\DFF_490/Q_reg-SDFF-output-B	2	29	0	4
\DFF_489/Q_reg-SDFF-output-B	2	24	0	3
n563	9	23	1	3
g7315	2	19	0	2
\DFF_488/Q_reg-SDFF-output-B	2	19	0	2
\DFF_487/Q_reg-SDFF-output-B	2	29	0	3
n566	9	28	1	3
\DFF_486/Q_reg-SDFF-output-B	2	24	0	2
g6835	2	19	0	2
\DFF_485/Q_reg-SDFF-output-B	2	19	0	2
\DFF_484/Q_reg-SDFF-output-B	2	37	0	5
n567	9	36	1	5
\DFF_483/Q_reg-SDFF-output-B	2	32	0	4
\DFF_482/Q_reg-SDFF-output-B	2	27	0	4
\DFF_481/Q_reg-SDFF-output-B	2	22	0	3
n1730	17	29	2	4
n570	9	21	1	3
\DFF_480/Q_reg-SDFF-output-B	2	17	0	2
\DFF_479/Q_reg-SDFF-output-B	2	19	0	3
\DFF_478/Q_reg-SDFF-output-B	2	14	0	2
n572	9	13	1	2
\DFF_477/Q_reg-SDFF-output-B	2	9	0	1
\DFF_476/Q_reg-SDFF-output-B	2	30	0	3
n573	9	29	1	3
\DFF_475/Q_reg-SDFF-output-B	2	25	0	2
n575	9	19	1	3
\DFF_474/Q_reg-SDFF-output-B	2	20	0	3
n576	9	14	1	2
\DFF_473/Q_reg-SDFF-output-B	2	15	0	2
\DFF_472/Q_reg-SDFF-output-B	2	10	0	1
\DFF_471/Q_reg-SDFF-output-B	2	24	0	3
\DFF_470/Q_reg-SDFF-output-B	2	19	0	2
\DFF_468/Q_reg-SDFF-output-B	2	24	0	4
\DFF_467/Q_reg-SDFF-output-B	2	19	0	3
n578	9	18	1	3
\DFF_466/Q_reg-SDFF-output-B	2	14	0	2
n579	9	13	1	2
\DFF_465/Q_reg-SDFF-output-B	2	9	0	1
\DFF_464/Q_reg-SDFF-output-B	2	14	0	2
\DFF_463/Q_reg-SDFF-output-B	2	9	0	1
\DFF_462/Q_reg-SDFF-output-B	2	39	0	6
n581	9	38	1	6
\DFF_461/Q_reg-SDFF-output-B	2	34	0	5
n582	9	33	1	5
\DFF_460/Q_reg-SDFF-output-B	2	29	0	4
n583	9	28	1	4
\DFF_459/Q_reg-SDFF-output-B	2	24	0	3
n584	9	23	1	3
\DFF_458/Q_reg-SDFF-output-B	2	19	0	2
n585	9	18	1	2
\DFF_457/Q_reg-SDFF-output-B	2	28	0	2
\DFF_456/Q_reg-SDFF-output-B	2	28	0	3
n589	9	27	1	3
\DFF_455/Q_reg-SDFF-output-B	2	23	0	2
\DFF_454/Q_reg-SDFF-output-B	2	18	0	2
\DFF_453/Q_reg-SDFF-output-B	2	13	0	1
\DFF_452/Q_reg-SDFF-output-B	2	9	0	1
\DFF_451/Q_reg-SDFF-output-B	2	57	0	7
\DFF_450/Q_reg-SDFF-output-B	2	52	0	6
n594	9	51	1	6
\DFF_449/Q_reg-SDFF-output-B	2	47	0	5
n597	9	46	1	5
\DFF_448/Q_reg-SDFF-output-B	2	42	0	4
n598	9	41	1	4
\DFF_447/Q_reg-SDFF-output-B	2	37	0	4
\DFF_446/Q_reg-SDFF-output-B	2	33	0	3
\DFF_445/Q_reg-SDFF-output-B	2	28	0	2
\DFF_444/Q_reg-SDFF-output-B	2	27	0	3
\DFF_443/Q_reg-SDFF-output-B	2	22	0	3
n599	9	21	1	3
\DFF_442/Q_reg-SDFF-output-B	2	17	0	2
n1840	17	2	2	0
\DFF_441/Q_reg-SDFF-output-B	2	25	0	3
n601	9	24	1	3
n602	9	19	1	2
\DFF_440/Q_reg-SDFF-output-B	2	20	0	2
\DFF_438/Q_reg-SDFF-output-B	2	41	0	4
n603	9	40	1	4
\DFF_437/Q_reg-SDFF-output-B	2	36	0	4
\DFF_436/Q_reg-SDFF-output-B	2	44	0	5
n604	9	43	1	5
\DFF_435/Q_reg-SDFF-output-B	2	39	0	4
\DFF_434/Q_reg-SDFF-output-B	2	37	0	4
n605	9	36	1	4
\DFF_433/Q_reg-SDFF-output-B	2	38	0	5
n606	9	37	1	5
\DFF_432/Q_reg-SDFF-output-B	2	33	0	4
n1432	33	2	4	0
n607	9	32	1	4
\DFF_431/Q_reg-SDFF-output-B	2	34	0	4
n609	9	33	1	4
\DFF_430/Q_reg-SDFF-output-B	2	29	0	3
\DFF_429/Q_reg-SDFF-output-B	2	47	0	5
\DFF_428/Q_reg-SDFF-output-B	2	42	0	5
n610	9	41	1	5
\DFF_427/Q_reg-SDFF-output-B	2	37	0	4
n611	9	36	1	4
\DFF_426/Q_reg-SDFF-output-B	2	32	0	3
n612	9	31	1	3
n613	9	26	1	3
\DFF_425/Q_reg-SDFF-output-B	2	27	0	3
\DFF_424/Q_reg-SDFF-output-B	2	49	0	5
n614	9	48	1	5
n615	9	43	1	5
\DFF_423/Q_reg-SDFF-output-B	2	44	0	5
\DFF_421/Q_reg-SDFF-output-B	2	39	0	4
n616	9	38	1	4
\DFF_420/Q_reg-SDFF-output-B	2	34	0	4
n617	9	33	1	4
\DFF_419/Q_reg-SDFF-output-B	2	29	0	4
n619	9	28	1	4
\DFF_418/Q_reg-SDFF-output-B	2	24	0	3
n620	9	23	1	3
\DFF_417/Q_reg-SDFF-output-B	2	19	0	2
\DFF_416/Q_reg-SDFF-output-B	2	28	0	2
\DFF_415/Q_reg-SDFF-output-B	2	24	0	4
\DFF_414/Q_reg-SDFF-output-B	2	19	0	3
n2157	17	26	2	4
n621	9	18	1	3
\DFF_413/Q_reg-SDFF-output-B	2	14	0	2
n622	9	13	1	2
\DFF_412/Q_reg-SDFF-output-B	2	9	0	1
\DFF_411/Q_reg-SDFF-output-B	2	41	0	4
n623	9	40	1	4
\DFF_410/Q_reg-SDFF-output-B	2	36	0	3
n624	9	35	1	3
\DFF_409/Q_reg-SDFF-output-B	2	31	0	2
\DFF_408/Q_reg-SDFF-output-B	2	47	0	6
n625	9	46	1	6
\DFF_407/Q_reg-SDFF-output-B	2	42	0	5
n626	9	41	1	5
\DFF_406/Q_reg-SDFF-output-B	2	37	0	4
n627	9	36	1	4
\DFF_405/Q_reg-SDFF-output-B	2	37	0	3
n628	9	36	1	3
n629	9	34	1	5
\DFF_404/Q_reg-SDFF-output-B	2	35	0	5
\DFF_403/Q_reg-SDFF-output-B	2	30	0	5
n630	9	29	1	5
\DFF_402/Q_reg-SDFF-output-B	2	25	0	4
n631	9	24	1	4
\DFF_401/Q_reg-SDFF-output-B	2	20	0	3
\DFF_400/Q_reg-SDFF-output-B	2	15	0	2
n632	9	14	1	2
\DFF_399/Q_reg-SDFF-output-B	2	10	0	1
\DFF_398/Q_reg-SDFF-output-B	2	24	0	3
\DFF_397/Q_reg-SDFF-output-B	2	19	0	2
\DFF_396/Q_reg-SDFF-output-B	2	41	0	5
\DFF_395/Q_reg-SDFF-output-B	2	36	0	4
n2004	17	26	2	4
n634	9	35	1	4
\DFF_394/Q_reg-SDFF-output-B	2	31	0	3
n635	9	30	1	3
\DFF_393/Q_reg-SDFF-output-B	2	28	0	2
\DFF_392/Q_reg-SDFF-output-B	2	28	0	2
\DFF_391/Q_reg-SDFF-output-B	2	27	0	2
n636	9	26	1	2
\DFF_390/Q_reg-SDFF-output-B	2	41	0	5
\DFF_389/Q_reg-SDFF-output-B	2	36	0	4
\DFF_388/Q_reg-SDFF-output-B	2	31	0	3
\DFF_387/Q_reg-SDFF-output-B	2	26	0	2
\DFF_386/Q_reg-SDFF-output-B	2	22	0	2
\DFF_385/Q_reg-SDFF-output-B	2	17	0	1
\DFF_384/Q_reg-SDFF-output-B	2	19	0	2
n637	9	18	1	2
\DFF_383/Q_reg-SDFF-output-B	2	28	0	2
\DFF_382/Q_reg-SDFF-output-B	2	29	0	3
n638	9	28	1	3
\DFF_381/Q_reg-SDFF-output-B	2	24	0	2
n639	9	23	1	2
\DFF_380/Q_reg-SDFF-output-B	2	19	0	3
n640	9	18	1	3
\DFF_379/Q_reg-SDFF-output-B	2	14	0	2
n641	9	13	1	2
\DFF_378/Q_reg-SDFF-output-B	2	9	0	1
\DFF_377/Q_reg-SDFF-output-B	2	46	0	4
n642	9	45	1	4
\DFF_376/Q_reg-SDFF-output-B	2	41	0	3
n643	9	40	1	3
\DFF_374/Q_reg-SDFF-output-B	2	36	0	4
n644	9	35	1	4
\DFF_373/Q_reg-SDFF-output-B	2	31	0	3
n1398	31	2	3	0
n1601	2	10	0	1
\DFF_372/Q_reg-SDFF-output-B	2	26	0	2
\DFF_371/Q_reg-SDFF-output-B	2	21	0	1
\DFF_370/Q_reg-SDFF-output-B	2	34	0	5
n652	9	33	1	5
\DFF_369/Q_reg-SDFF-output-B	2	29	0	4
n653	9	28	1	4
\DFF_368/Q_reg-SDFF-output-B	2	24	0	3
n654	9	23	1	3
\DFF_367/Q_reg-SDFF-output-B	2	19	0	2
\DFF_366/Q_reg-SDFF-output-B	2	24	0	2
\DFF_365/Q_reg-SDFF-output-B	2	19	0	2
n656	9	18	1	2
\DFF_364/Q_reg-SDFF-output-B	2	34	0	4
\DFF_363/Q_reg-SDFF-output-B	2	29	0	3
n660	9	28	1	3
\DFF_362/Q_reg-SDFF-output-B	2	31	0	4
\DFF_361/Q_reg-SDFF-output-B	2	26	0	3
\DFF_360/Q_reg-SDFF-output-B	2	21	0	3
n661	9	20	1	3
\DFF_359/Q_reg-SDFF-output-B	2	16	0	2
n663	9	15	1	2
\DFF_358/Q_reg-SDFF-output-B	2	11	0	1
\DFF_357/Q_reg-SDFF-output-B	2	34	0	4
\DFF_356/Q_reg-SDFF-output-B	2	29	0	4
n664	9	28	1	4
\DFF_355/Q_reg-SDFF-output-B	2	24	0	3
\DFF_354/Q_reg-SDFF-output-B	2	19	0	2
n665	9	18	1	2
\DFF_353/Q_reg-SDFF-output-B	2	33	0	3
\DFF_352/Q_reg-SDFF-output-B	2	28	0	2
n667	9	27	1	2
\DFF_351/Q_reg-SDFF-output-B	2	23	0	1
\DFF_350/Q_reg-SDFF-output-B	2	41	0	5
n668	9	40	1	5
\DFF_349/Q_reg-SDFF-output-B	2	36	0	4
n669	9	35	1	4
\DFF_347/Q_reg-SDFF-output-B	2	31	0	3
n670	9	30	1	3
\DFF_346/Q_reg-SDFF-output-B	2	26	0	2
\DFF_345/Q_reg-SDFF-output-B	2	29	0	2
\DFF_344/Q_reg-SDFF-output-B	2	32	0	4
n671	9	31	1	4
\DFF_343/Q_reg-SDFF-output-B	2	27	0	3
\DFF_342/Q_reg-SDFF-output-B	2	22	0	2
\DFF_340/Q_reg-SDFF-output-B	2	36	0	4
n672	9	35	1	4
\DFF_339/Q_reg-SDFF-output-B	2	31	0	3
\DFF_338/Q_reg-SDFF-output-B	2	26	0	2
\DFF_337/Q_reg-SDFF-output-B	2	21	0	2
\DFF_336/Q_reg-SDFF-output-B	2	16	0	1
\DFF_335/Q_reg-SDFF-output-B	2	40	0	4
n1729	17	47	2	5
n674	9	39	1	4
\DFF_334/Q_reg-SDFF-output-B	2	37	0	5
n675	9	36	1	5
\DFF_333/Q_reg-SDFF-output-B	2	32	0	4
n676	9	31	1	4
\DFF_332/Q_reg-SDFF-output-B	2	27	0	3
n2207	27	2	3	0
n677	9	26	1	3
\DFF_331/Q_reg-SDFF-output-B	2	33	0	4
\DFF_330/Q_reg-SDFF-output-B	2	28	0	3
n678	9	27	1	3
\DFF_329/Q_reg-SDFF-output-B	2	24	0	3
g7313	2	19	0	2
\DFF_328/Q_reg-SDFF-output-B	2	19	0	2
\DFF_327/Q_reg-SDFF-output-B	2	27	0	2
n680	9	26	1	2
\DFF_326/Q_reg-SDFF-output-B	2	43	0	6
n681	9	42	1	6
\DFF_325/Q_reg-SDFF-output-B	2	38	0	5
n682	9	37	1	5
\DFF_324/Q_reg-SDFF-output-B	2	33	0	4
n684	9	32	1	4
\DFF_323/Q_reg-SDFF-output-B	2	28	0	3
n685	9	27	1	3
\DFF_322/Q_reg-SDFF-output-B	2	23	0	2
n686	9	22	1	2
\DFF_321/Q_reg-SDFF-output-B	2	26	0	2
\DFF_320/Q_reg-SDFF-output-B	2	21	0	1
\DFF_319/Q_reg-SDFF-output-B	2	34	0	3
\DFF_318/Q_reg-SDFF-output-B	2	29	0	2
\DFF_317/Q_reg-SDFF-output-B	2	24	0	3
n687	9	23	1	3
\DFF_316/Q_reg-SDFF-output-B	2	19	0	2
\DFF_315/Q_reg-SDFF-output-B	2	28	0	2
n688	9	27	1	2
\DFF_314/Q_reg-SDFF-output-B	2	47	0	5
n689	9	46	1	5
\DFF_313/Q_reg-SDFF-output-B	2	42	0	4
n690	9	41	1	4
\DFF_312/Q_reg-SDFF-output-B	2	39	0	4
\DFF_311/Q_reg-SDFF-output-B	2	34	0	5
n691	9	33	1	5
\DFF_310/Q_reg-SDFF-output-B	2	29	0	4
n692	9	28	1	4
\DFF_309/Q_reg-SDFF-output-B	2	24	0	3
n693	9	23	1	3
\DFF_308/Q_reg-SDFF-output-B	2	19	0	2
\DFF_307/Q_reg-SDFF-output-B	2	26	0	2
n694	9	25	1	2
\DFF_306/Q_reg-SDFF-output-B	2	21	0	3
g4171	2	10	0	1
n696	9	20	1	3
\DFF_304/Q_reg-SDFF-output-B	2	19	0	2
n697	9	18	1	2
\DFF_303/Q_reg-SDFF-output-B	2	31	0	5
n698	9	30	1	5
\DFF_302/Q_reg-SDFF-output-B	2	26	0	4
\DFF_301/Q_reg-SDFF-output-B	2	21	0	3
n699	9	20	1	3
\DFF_300/Q_reg-SDFF-output-B	2	16	0	2
n1329	16	2	2	0
n701	9	15	1	2
\DFF_299/Q_reg-SDFF-output-B	2	19	0	3
n941	47	9	8	1
n1044	50	9	8	1
n702	9	18	1	3
\DFF_297/Q_reg-SDFF-output-B	2	14	0	2
\DFF_296/Q_reg-SDFF-output-B	2	9	0	1
\DFF_295/Q_reg-SDFF-output-B	2	27	0	2
\DFF_294/Q_reg-SDFF-output-B	2	47	0	7
n704	9	46	1	7
\DFF_293/Q_reg-SDFF-output-B	2	42	0	6
n705	9	41	1	6
\DFF_292/Q_reg-SDFF-output-B	2	37	0	5
\DFF_291/Q_reg-SDFF-output-B	2	32	0	5
n707	9	31	1	5
n708	9	26	1	4
\DFF_290/Q_reg-SDFF-output-B	2	27	0	4
\DFF_289/Q_reg-SDFF-output-B	2	22	0	3
n709	9	21	1	3
\DFF_288/Q_reg-SDFF-output-B	2	17	0	2
\DFF_287/Q_reg-SDFF-output-B	2	29	0	4
n710	9	28	1	4
\DFF_286/Q_reg-SDFF-output-B	2	24	0	3
n711	9	23	1	3
\DFF_285/Q_reg-SDFF-output-B	2	19	0	2
n712	9	18	1	2
\DFF_284/Q_reg-SDFF-output-B	2	44	0	5
n713	9	43	1	5
\DFF_283/Q_reg-SDFF-output-B	2	39	0	5
n714	9	38	1	5
\DFF_282/Q_reg-SDFF-output-B	2	34	0	4
n715	9	33	1	4
\DFF_281/Q_reg-SDFF-output-B	2	29	0	3
n716	9	28	1	3
\DFF_280/Q_reg-SDFF-output-B	2	26	0	2
\DFF_279/Q_reg-SDFF-output-B	2	25	0	3
n717	9	24	1	3
\DFF_278/Q_reg-SDFF-output-B	2	20	0	2
\DFF_277/Q_reg-SDFF-output-B	2	15	0	2
n1899	43	9	5	1
n718	9	14	1	2
\DFF_276/Q_reg-SDFF-output-B	2	10	0	1
g4901	10	2	1	0
\DFF_275/Q_reg-SDFF-output-B	2	28	0	2
n719	9	27	1	2
\DFF_273/Q_reg-SDFF-output-B	2	36	0	4
n720	9	35	1	4
\DFF_272/Q_reg-SDFF-output-B	2	34	0	4
n721	9	33	1	4
\DFF_271/Q_reg-SDFF-output-B	2	29	0	3
\DFF_270/Q_reg-SDFF-output-B	2	35	0	4
\DFF_269/Q_reg-SDFF-output-B	2	37	0	5
n722	9	36	1	5
\DFF_268/Q_reg-SDFF-output-B	2	32	0	4
\DFF_267/Q_reg-SDFF-output-B	2	35	0	5
n723	9	34	1	5
\DFF_266/Q_reg-SDFF-output-B	2	30	0	4
n724	9	29	1	4
\DFF_265/Q_reg-SDFF-output-B	2	47	0	4
n726	9	46	1	4
\DFF_264/Q_reg-SDFF-output-B	2	46	0	5
n727	9	45	1	5
\DFF_263/Q_reg-SDFF-output-B	2	41	0	5
\DFF_262/Q_reg-SDFF-output-B	2	36	0	4
n728	9	35	1	4
\DFF_261/Q_reg-SDFF-output-B	2	31	0	3
n729	9	30	1	3
\DFF_260/Q_reg-SDFF-output-B	2	26	0	2
\DFF_259/Q_reg-SDFF-output-B	2	28	0	2
\DFF_258/Q_reg-SDFF-output-B	2	27	0	2
n730	9	26	1	2
\DFF_256/Q_reg-SDFF-output-B	2	37	0	4
n731	9	36	1	4
\DFF_255/Q_reg-SDFF-output-B	2	32	0	3
n732	9	31	1	3
\DFF_254/Q_reg-SDFF-output-B	2	36	0	4
n733	9	30	1	3
\DFF_253/Q_reg-SDFF-output-B	2	31	0	3
\DFF_252/Q_reg-SDFF-output-B	2	26	0	2
\DFF_251/Q_reg-SDFF-output-B	2	49	0	5
n734	9	48	1	5
\DFF_250/Q_reg-SDFF-output-B	2	44	0	4
n735	9	43	1	4
\DFF_249/Q_reg-SDFF-output-B	2	39	0	5
n736	9	38	1	5
\DFF_248/Q_reg-SDFF-output-B	2	34	0	4
\DFF_247/Q_reg-SDFF-output-B	2	29	0	3
\DFF_246/Q_reg-SDFF-output-B	2	32	0	4
n737	9	31	1	4
\DFF_245/Q_reg-SDFF-output-B	2	27	0	3
\DFF_244/Q_reg-SDFF-output-B	2	22	0	2
\DFF_243/Q_reg-SDFF-output-B	2	17	0	1
\DFF_242/Q_reg-SDFF-output-B	2	25	0	3
n739	9	19	1	2
\DFF_241/Q_reg-SDFF-output-B	2	20	0	2
\DFF_240/Q_reg-SDFF-output-B	2	33	0	4
n2005	17	40	2	5
\DFF_239/Q_reg-SDFF-output-B	2	38	0	3
n740	9	37	1	3
\DFF_238/Q_reg-SDFF-output-B	2	39	0	3
n741	9	38	1	3
\DFF_237/Q_reg-SDFF-output-B	2	34	0	2
n742	9	33	1	2
\DFF_235/Q_reg-SDFF-output-B	2	30	0	4
n743	9	29	1	4
\DFF_234/Q_reg-SDFF-output-B	2	25	0	3
n744	9	19	1	2
\DFF_233/Q_reg-SDFF-output-B	2	20	0	2
\DFF_232/Q_reg-SDFF-output-B	2	31	0	4
n1862	9	97	1	14
n745	9	30	1	4
\DFF_231/Q_reg-SDFF-output-B	2	26	0	3
n746	9	25	1	3
\DFF_230/Q_reg-SDFF-output-B	2	21	0	2
\DFF_229/Q_reg-SDFF-output-B	2	16	0	1
\DFF_228/Q_reg-SDFF-output-B	2	11	0	1
n1212	17	10	2	1
n1626	37	9	4	1
\DFF_227/Q_reg-SDFF-output-B	2	45	0	6
\DFF_226/Q_reg-SDFF-output-B	2	40	0	5
\DFF_225/Q_reg-SDFF-output-B	2	39	0	5
\DFF_224/Q_reg-SDFF-output-B	2	34	0	4
n747	9	33	1	4
\DFF_223/Q_reg-SDFF-output-B	2	29	0	3
\DFF_222/Q_reg-SDFF-output-B	2	24	0	3
n748	9	23	1	3
\DFF_221/Q_reg-SDFF-output-B	2	19	0	2
n749	9	18	1	2
\DFF_220/Q_reg-SDFF-output-B	2	27	0	2
\DFF_218/Q_reg-SDFF-output-B	2	34	0	4
n1967	17	41	2	5
n750	9	33	1	4
\DFF_217/Q_reg-SDFF-output-B	2	29	0	4
n751	9	28	1	4
\DFF_216/Q_reg-SDFF-output-B	2	24	0	3
\DFF_215/Q_reg-SDFF-output-B	2	19	0	2
\DFF_214/Q_reg-SDFF-output-B	2	17	0	2
\DFF_213/Q_reg-SDFF-output-B	2	34	0	3
n752	9	33	1	3
\DFF_212/Q_reg-SDFF-output-B	2	29	0	2
n753	9	28	1	2
